# ɨ ŋ            
one              mbwia-
two              -ri
three            -ram
person           noranan
male             
mother           kaye
female           kaye
father           kanu
water            arɨm
fire             ayɨr
sun              sɨnmari
                 
moon             mwɨl
star             suŋkwi
canoe            ke
louse            kurɨr
village          num
breast           nɨŋke
tooth            sraŋk
blood            yari
bone             anamp
                 
tongue           tɨbulanɨŋk
eye              sɨsiŋk
nose             wambusu
hair             yawi
ear              kukunam
egg              awŋk
leaf             nɨmpramp
tree             yuwan
                 
yesterday        namasɨnɨŋ
tomorrow         namasɨnɨŋ
oar              nanK
betelnut         muntɨkɨn
lime             ayɨr
pig              numpran
crocodile        ayi
snake            wan
mosquito         naŋgun
chicken          nakwan
                 
sago grub        wun
sago palm        tɨnum
sago refuse      
pound sago       pun-
wash sago        tuku-
to hear          andɨ-
to hit           dii-
to eat           am-
to go            wa-
faeces           munjar
spine of leaf    kɨnɨŋk
leg              namaŋk
big              wupa-
cold             saruk
