# ɨ ŋ            
one              abe
two              
three            kerongo
person           nor
male             puin
mother           ŋai
female           ŋai
father           apa
water            arɨm
fire             awr
sun              akɨn
                 
moon             karewan
star             moai
canoe            gain
louse            iran
village          nomot
breast           niŋgen
tooth            asarap
blood            yaran
bone             sariŋib
                 
tongue           menɨŋ
eye              nabrin
nose             daur
hair             dwar
ear              karekep
egg              gaug
leaf             nabirɨk
tree             yarar
                 
yesterday        ŋarɨŋ
tomorrow         ŋarɨŋ
oar              inaŋ
betelnut         porog
lime             ayr
pig              (nim)bren
crocodile        oramen
snake            wakɨn
mosquito         nauk
chicken          goabar
                 
sago grub        kamur
sago palm        dun
sago refuse      
pound sago       pon-
wash sago        tokun-
to hear          dɨn-
to hit           di-
to eat           mɨn-
to go            on-
faeces           mɨndɨn
spine of leaf    kɨnɨŋ
leg              
big              apo-
cold             
