to-stay bai
boy bade
garden  baiʔa
some    bgoʔ
beside  bi'ra
there   biraʔ
to-put-down bro
to-vomit    bu
i   d-
and-i   -da
what    daʔna
person  de
to-eat  do
ant gidu
to-die  fri
sun fu
pig fu
ear ()geta
leg-foot    giaʔ ai
placename-suffix    -ai
snail   gakapu
fence   gekia
name    ()gi
nominal-collective  -gi
ginger  gina
to-fill girikiripo
only    -goʔ
to-boil grakrafu
to-dig  gri
vegetation  gvu
ant haʔginaʔ
yam ha'gu
dye okovuʔ
to-shake    uruʔurufu
this    ma
inconsequential -mana
soft    meme hu
meat    miʔa
rat mu
down    muna
belly   muʔ
thing   na
louse   mna
people  nagaʔ
wife    ()naruʔ
cobweb  noʔzuʔ
not -opa
fruit   rgaʔa
arrow   ri'
earthquake  imi ri
thigh   ()ruʔ
axe run
right-correct   -rvaʔ
to-go-down  nnu
to-burn ()ro
two rori
to-drip rupretapreʔai
fig ati
cloud   ita
woman   ade
for-benefactive -()to-
dye saiʔna
tall    sosofu
ghost   ve
topic   -ve
man vi
urine   vi
tooth   viʔ
kinsman viʔ
interrogative   -ve
stone   evaʔ
bird    gavare
just    (ha)'vaʔa
inessive    -viʔ
arm-hand    zaʔ
bone    zapu
help    (ha)'()abo
negative    ʔaʔa
also    -giʔ
locative    -roʔ
similar ktaʔ
separative  -riʔ
blood   goraN
milk    duN
water   mniN
faeces  ai
eye au(rgaʔa)
slope   auʔa
to-stand    ehi
vocative    -o
road    hasaʔ
liver   ha'()au-


