C1 Kare             	egg                 	sombaga             	
C2 Girawa           	egg                 	bʌbau              	      	
C3 Munit            	egg                 	ba:gu               	
C4 Bemal            	egg                 	wa:k                	
C5 Sihan            	egg                 	musa                	1313
C6 Gumalu           	egg                 	munau               	
C7 Isebe            	egg                 	hoba                	
C8 Amele            	egg                 	na:k                	
C9 Bau              	egg                 	musa                	1313
C10 Panim           	egg                 	naʔʌg               	
C11 Rapting         	egg                 	taka                	
C12 Wamas           	egg                 	hegu                	
C13 Samosa          	egg                 	segu                	
C14 Murupi          	egg                 	he:gu               	
C15 Saruga          	egg                 	ova                 	
C16 Nake            	egg                 	musʌ:               	1313
C16 Nake            	egg                 	munʌ:               	1193
C17 Mosimo          	egg                 	se:gu               	
C18 Garus           	egg                 	dila:               	
C19 Yoidik          	egg                 	koki                	
C20 Rempi           	egg                 	deuk                	
C21 Bagupi          	egg                 	musʌ                	1313
C22 Silopi          	egg                 	munʌ:n              	1193
C23 Utu             	egg                 	muna:n              	1193
C24 Mawan           	egg                 	muna                	1193
C25 Baimak          	egg                 	musau               	1313
C26 Matepi          	egg                 	muna                	1193
C27 Gal             	egg                 	owa                 	
C28 Garuh           	egg                 	obau                	
C29 Kamba           	egg                 	ov                  	
