D1 Bargam           	wild chicken        	wuyak     	
D1 Bargam           	wild chicken        	molon     	2467
E1 Dimir            	wild chicken        	nauŋ      	
E2 Malas            	wild chicken        	uruar     	
E3 Bunabun          	wild chicken        	ksik      	
E3 Bunabun          	wild chicken        	ninuak    	
E4 Korak            	wild chicken        	milo      	2467
E5 Waskia           	wild chicken        	maloŋ     	2467
F1 Pay              	wild chicken        	mala      	2467
F2 Pila             	wild chicken        	mwalaw    	2467
F3 Maia             	wild chicken        	mwayaw    	2467
F4 Tani             	wild chicken        	mwara     	2467
F4 Tani             	wild chicken        	mwazaw    	2467
F5 Mauwake          	wild chicken        	moramra   	
F5 Mauwake          	wild chicken        	mwara     	2467
F6 Bepour           	wild chicken        	perper    	
F6 Bepour           	wild chicken        	merun     	2467
F7 Moere            	wild chicken        	pəpər     	
F8 Kowaki           	wild chicken        	herir muʔembar	
F9 Mawak            	wild chicken        	puruk     	
F9 Mawak            	wild chicken        	sabua     	
F10 Hinihon         	wild chicken        	sabua     	
F11 Musar           	wild chicken        	be:mbal   	
F12 Wanambre        	wild chicken        	muŋga saboa	
F13 Koguman         	wild chicken        	hoŋam     	
F14 Abasakur        	wild chicken        	naŋawa    	
F14 Abasakur        	wild chicken        	nuanawa   	
F15 Usan            	wild chicken        	teteri ar 	
F16 Yaben           	wild chicken        	yomo      	
F17 Yarawata        	wild chicken        	malaona   	2467
F18 Bilakura        	wild chicken        	yamatua   	
F19 Parawen         	wild chicken        	mararunu  	2467
F20 Ukuriguma       	wild chicken        	maroun    	2467
F21 Amaimon         	wild chicken        	ŋa:kam    	
