D1 Bargam           	crayfish            	silaʔ     	
E1 Dimir            	crayfish            	kulisi    	2471
E2 Malas            	crayfish            	suwi      	
E3 Bunabun          	crayfish            	kisik     	2471
E4 Korak            	crayfish            	kulis     	2471
E5 Waskia           	crayfish            	kusili    	2471
F1 Pay              	crayfish            	sib       	
F2 Pila             	crayfish            	onor      	
F3 Maia             	crayfish            	kageburia 	
F4 Tani             	crayfish            	sib       	
F5 Mauwake          	crayfish            	maroka    	
F6 Bepour           	crayfish            	purer     	
F7 Moere            	crayfish            	orkier    	2473
F8 Kowaki		crayfish		
F9 Mawak            	crayfish            	eneŋgut   	2473
F10 Hinihon         	crayfish            	olohol    	2473
F11 Musar           	crayfish            	en        	
F11 Musar           	crayfish            	eyen      	
F12 Wanambre        	crayfish            	lekel     	2473
F13 Koguman         	crayfish            	nandugus  	
F14 Abasakur		crayfish		
F15 Usan            	crayfish            	iray      	2472
F16 Yaben           	crayfish            	irake     	2472
F17 Yarawata        	crayfish            	ila:ke    	2472
F18 Bilakura        	crayfish            	uca       	
F19 Parawen         	crayfish            	ilaka     	2472
F20 Ukuriguma       	crayfish            	ila:ke    	2472
F21 Amaimon         	crayfish            	si:ni     	
