D1 Bargam           	frog                	kuter     	
E1 Dimir            	frog                	imbeleŋot 	
E2 Malas            	(frog)              	inzi      	2046
E3 Bunabun          	frog                	kukaŋgat  	
E3 Bunabun          	frog                	mamur     	
E4 Korak            	frog                	gulak     	
E5 Waskia           	frog                	kari      	2497
F1 Pay              	frog                	kureŋkureŋ	
F2 Pila             	frog                	kruboas   	
F3 Maia             	frog                	koʌra     	
F4 Tani             	frog                	daga      	
F5 Mauwake          	frog                	ikia      	2495
F6 Bepour           	frog                	iti       	2495,2046
F7 Moere            	(frog)              	iti       	2046,2495
F8 Kowaki           	frog                	horina    	2497
F9 Mawak            	frog                	sopua     	2496
F10 Hinihon         	frog                	so:pu     	2496
F11 Musar           	frog                	hali:na   	2497
F12 Wanambre        	frog                	makel     	
F13 Koguman         	frog                	piŋ       	
F14 Abasakur        	frog                	isto      	
F15 Usan            	frog                	mamur     	
F16 Yaben           	frog                	maiban    	2397
F17 Yarawata        	frog                	maiban    	2397
F18 Bilakura        	frog                	maiban    	2397
F19 Parawen         	frog                	maiban    	2397
F20 Ukuriguma       	frog                	mamur     	
F21 Amaimon         	frog                	su:t      	
