D1 Bargam           	tobacco             	as        	
E1 Dimir            	tobacco             	inepkur   	
E2 Malas            	tobacco             	ikam      	2546
E3 Bunabun          	tobacco             	ikab      	2546
E4 Korak            	tobacco             	tama      	
E5 Waskia           	tobacco             	gauk      	2546
F1 Pay              	tobacco             	yab       	2546
F2 Pila             	tobacco             	iŋab      	2546
F3 Maia             	tobacco             	ikab      	2546
F4 Tani             	tobacco             	ikab      	2546
F5 Mauwake          	tobacco             	ipiswa    	
F6 Bepour           	tobacco             	ipiseb    	
F7 Moere            	tobacco             	ikeb      	2546
F8 Kowaki           	tobacco             	ʔabuʔ     	2546
F9 Mawak            	tobacco             	kawuk     	2546
F10 Hinihon         	tobacco             	kawuk     	2546
F11 Musar           	tobacco             	ka:wuk    	2546
F12 Wanambre        	tobacco             	gabuk     	2546
F13 Koguman         	tobacco             	abu       	2546
F14 Abasakur        	tobacco             	kawu      	2546
F15 Usan            	tobacco             	abu       	2546
F16 Yaben           	tobacco             	ikabu     	2546
F17 Yarawata        	tobacco             	ikapa     	2546
F18 Bilakura        	tobacco             	ikuab     	2546
F19 Parawen         	tobacco             	ika:pa    	2546
F20 Ukuriguma       	tobacco             	ikap      	2546
F21 Amaimon         	tobacco             	itu       	
