D1 Bargam           	bean                	ites      	
E1 Dimir            	bean                	yaker     	
E2 Malas            	bean                	batari    	
E3 Bunabun          	bean                	maker     	
E4 Korak            	bean                	mak       	
F1 Pay              	bean                	sirak     	
F2 Pila             	bean                	kambalek  	
F3 Maia             	bean                	kibare    	
F4 Tani             	bean                	misi:ra   	
F5 Mauwake          	bean                	mesa      	
F6 Bepour           	bean                	mese      	
F7 Moere            	bean                	meseʔ     	
F8 Kowaki           	bean                	neʔa      	2590
F9 Mawak            	bean                	onhak     	2590
F10 Hinihon         	bean                	nohak     	2590
F11 Musar           	bean                	mekak     	2590
F12 Wanambre        	bean                	nokak     	2590
F13 Koguman         	bean                	babatir   	2591
F14 Abasakur        	bean                	nogwa     	2590
F15 Usan            	bean                	mesen     	
F16 Yaben           	bean                	maja:nu   	
F17 Yarawata        	bean                	pasila    	2591
F17 Yarawata        	bean                	kwaitʌ:la 	2692
F18 Bilakura        	bean                	macan     	
F19 Parawen         	bean                	kwitʌ:rʌ  	2692
F20 Ukuriguma       	bean                	kwaytɔr   	2692
F21 Amaimon         	bean                	omoy      	
