D1 Bargam           	star                	ulig      	
E1 Dimir            	star                	magepmet  	2712
E2 Malas            	star                	umbut     	
E3 Bunabun          	star                	guim      	
E4 Korak            	star                	guein     	
E5 Waskia           	star                	baras     	
F1 Pay              	star                	kay       	
F2 Pila             	star                	ŋgoay     	
F3 Maia             	star                	bway      	
F3 Maia             	star                	maŋgap    	2712
F4 Tani             	star                	mʌgʌ      	2712
F5 Mauwake          	star                	mokomʌ    	2712
F6 Bepour           	star                	matem     	
F7 Moere            	star                	nokem     	
F8 Kowaki           	star                	meʔʌm     	2712
F9 Mawak            	star                	meŋgam    	2712
F10 Hinihon         	star                	sepena    	
F11 Musar           	star                	me:ŋgam   	2712
F12 Wanambre        	star                	mbi:nembin	
F13 Koguman         	star                	tu:nd     	
F14 Abasakur        	star                	koyaŋ     	
F15 Usan            	star                	tapay     	
F16 Yaben           	star                	walijama  	
F17 Yarawata        	star                	baba:la   	
F17 Yarawata        	star                	walisi    	
F18 Bilakura        	star                	walsama   	
F19 Parawen         	star                	babara    	
F20 Ukuriguma       	star                	bobor     	
F21 Amaimon         	star                	boy       	
