D1 Bargam           	village             	uli       	
E1 Dimir            	village             	weŋae     	
E2 Malas            	village             	punar     	
E3 Bunabun          	village             	kuab      	
E4 Korak            	village             	okal      	
E5 Waskia           	village             	wanoŋ     	
F1 Pay              	village             	ab        	
F2 Pila             	village             	kawa      	
F3 Maia             	village             	kʌ:β      	
F4 Tani             	village             	wʌβ       	
F5 Mauwake          	village             	ovova     	
F6 Bepour           	village             	owob      	
F7 Moere            	village             	fakeʔ     	
F8 Kowaki           	village             	haʔib     	
F9 Mawak            	village             	aha       	
F10 Hinihon         	village             	fa        	
F11 Musar           	village             	da:low    	
F12 Wanambre        	village             	kandulal  	
F13 Koguman         	village             	ha:p      	
F14 Abasakur        	village             	wara      	
F15 Usan            	village             	ginam     	
F15 Usan            	village             	munay     	
F16 Yaben           	village             	ginamu    	
F17 Yarawata        	village             	gina:ma   	
F18 Bilakura        	village             	ginuam    	
F19 Parawen         	village             	ginama    	
F20 Ukuriguma       	village             	ginam     	
F21 Amaimon         	village             	matakwal  	
