D1 Bargam           	big                 	yah       	
E1 Dimir            	big                 	umoŋ      	
E2 Malas            	big                 	nei       	
E3 Bunabun          	big                 	mambek    	
E4 Korak            	big                 	balak     	
E5 Waskia           	big                 	bia       	
F1 Pay              	big                 	wua       	
F2 Pila             	big                 	kani      	
F3 Maia             	big                 	ka:ni     	
F4 Tani             	big                 	uwo       	
F5 Mauwake          	big                 	maneka    	
F6 Bepour           	big                 	uma       	
F7 Moere            	big                 	mafi:mta  	
F8 Kowaki           	big                 	sepa      	
F9 Mawak            	big                 	sepa      	
F10 Hinihon         	big                 	sepa      	
F11 Musar           	big                 	mawi      	
F12 Wanambre        	big                 	somba     	
F13 Koguman         	big                 	agapi     	
F14 Abasakur        	big                 	epap      	
F15 Usan            	big                 	u:raib    	
F16 Yaben           	big                 	aiba      	
F17 Yarawata        	big                 	wa:ma     	
F18 Bilakura        	big                 	aib       	
F19 Parawen         	big                 	wa:ma     	
F20 Ukuriguma       	big                 	wa:mo     	
F21 Amaimon         	big                 	yoin      	
