D1 Bargam           	(person) old        	nenap     	
E1 Dimir            	(old(of humans))    	kaman(eŋ) 	2099?
E1 Dimir            	(person) old        	kamaneŋ   	2418
E1 Dimir            	(person) old        	kamdin    	2418
E2 Malas            	(person) old        	kuken     	
E3 Bunabun          	(person) old        	naman     	
E4 Korak            	(old(of humans))    	emer      	2099,2418
E5 Waskia           	(person) old        	aura      	2417
F1 Pay              	(person) old        	akur      	2417
F2 Pila             	(old(of humans))    	kamoa     	2099
F2 Pila             	(person) old        	kamwa     	2418
F3 Maia             	(person) old        	ra:p      	
F4 Tani             	(person) old        	abom (m)     	
F4 Tani             	(person) old        	pose (f)     	
F5 Mauwake          	(person) old        	panewa    	2420
F6 Bepour           	(person) old        	pa:nua    	2420
F7 Moere            	(person) old        	pwane     	2420
F8 Kowaki           	(person) old        	fi:fi     	2421
F9 Mawak            	(person) old        	mande fiwi	2421
F10 Hinihon         	(person) old        	mande sepa	
F10 Hinihon         	(person) old        	mande fiwi	2421
F11 Musar           	(person) old        	kalen     	2419
F12 Wanambre        	(person) old        	ŋgalen    	2419
F13 Koguman       	(person) old        	moramuŋ
F14 Abasakur        	(person) old        	moasigi   	
F14 Abasakur        	(person) old        	mokora    	
F15 Usan            	(person) old        	isi:k     	
F16 Yaben           	(person) old        	tunduba   	2422
F17 Yarawata        	(person) old        	kokwalan  	2419
F18 Bilakura        	(person) old        	tənduba   	2422
F19 Parawen         	(person) old        	iluvoy    	
F19 Parawen         	(old(of humans))    	kaman(a)  	2099?
F19 Parawen         	(person) old        	kamana    	2418
F20 Ukuriguma       	(person) old        	kokaran   	2419
F21 Amaimon         	(person) old        	saŋaim    	
F21 Amaimon         	(person) old        	gwandam   	2419
