D1 Bargam           	call out		liley-	
E1 Dimir            	call out		gayaw-
E2 Malas            	call out		iɛbrar-
E3 Bunabun          	call out            	far       	2772
E3 Bunabun          	call out            	yam-
E4 Korak            	call out            	parak     	2772
E5 Waskia           	call out		ai-
F1 Pay              	call out		kaun-
F2 Pila             	call out		wʌy-
F2 Pila             	call out		oyan-
F3 Maia             	call out            	βa        	2772
F4 Tani             	call out            	bar       	2772
F5 Mauwake          	call out            	fʌr       	2772
F6 Bepour           	call out            	fʌr       	2772
F7 Moere            	call out            	fʌ        	2772
F8 Kowaki           	call out            	far       	2772
F9 Mawak            	call out            	far       	2772
F10 Hinihon         	call out            	fal       	2772
F11 Musar           	call out            	fal       	2772
F12 Wanambre        	call out		yaney-
F13 Koguman         	call out            	wɔr       	2772
F14 Abasakur        	call out            	wa        	2772
F15 Usan            	call out		utar-
F16 Yaben           	call out            	abal      	2772
F17 Yarawata        	call out            	ʌ:r       	2772
F18 Bilakura        	call out            	al        	2772
F19 Parawen         	call out		tanaari-
F19 Parawen         	call out		bitanari-
F20 Ukuriguma       	call out            	ʌ:r       	2772
F21 Amaimon         	call out            	eberam    	2772
