D1 Bargam           	vein                	-amamun   	
E1 Dimir            	vein                	mumudemet 	2350
E2 Malas            	vein                	mur̃iriŋ  	2216
E3 Bunabun          	vein                	um        	
E4 Korak            	vein                	urik      	2351
E5 Waskia           	vein                	pi:psi    	
E5 Waskia           	vein                	mayaŋ     	2350
F1 Pay              	vein                	ut        	2351
F2 Pila             	vein                	muniom    	2349
F3 Maia             	vein                	-muniom   	2349
F4 Tani             	vein                	momoniop  	2349
F5 Mauwake		vein			ɛrʌ
F6 Bepour           	vein                	momonem   	2349
F7 Moere            	vein                	meniem    	2349
F8 Kowaki		vein			
F9 Mawak            	vein                	momonib   	2349
F10 Hinihon         	vein                	momonim   	2349
F11 Musar           	vein                	momonim   	2349
F12 Wanambre        	vein                	momonim   	2349
F13 Koguman         	vein                	muririn   	2216,2350
F14 Abasakur        	vein                	muñir     	2350
F15 Usan            	vein                	mindirom  	2350
F16 Yaben           	vein                	mumunjiram	2216
F17 Yarawata        	vein                	mumurinama	2350
F18 Bilakura        	vein                	mumunzilʌm	2216
F19 Parawen         	vein                	mumurinʌ:ma	2216
F20 Ukuriguma       	vein                	momorinam 	2216,2350
F21 Amaimon         	vein                	u:si      	2351
