B1 Sinsauru         	2sg free            	
B2 Asas             	2sg free            	-ø
B3 Sausi            	2sg free            	-inamo
B4 Koromu           	2sg free            	-inamo
B5 Dumpu            	2sg free            	
B6 Arawum           	2sg free            	na-
B7 Kolom            	2sg free            	
B8 Suroi            	2sg free            	
B9 Lemio            	2sg free            	na-
B10 Pulabu          	2sg free            	
B11 Yabong          	2sg free            	-(n)ma
B12 Ganglau 	    	2sg free            	
B13 Saep            	2sg free            	-ma
B14 Usino           	2sg free            	-n
B15 Sumau           	2sg free            	-(V)n
B15 Sumau           	2sg free            	-ini
B16 Urigina         	2sg free            	-nɛ
B17 Danaru          	2sg free            	nV-
B18 Usu             	2sg free            	-t
B18 Usu             	2sg free            	-n
B19 Erima           	2sg free            	-tɛ
B19 Erima           	2sg free            	-nɛ
B20 Deduela         	2sg free            	-tɛ
B20 Deduela         	2sg free            	-nɛ
B21 Kwato           	2sg free            	
B22 Rerau           	2sg free            	
B23 Jilim           	2sg free            	na-
B24 Yangulam        	2sg free            	
B25 Bom             	2sg free            	
B26 Male            	2sg free            	
B27 Bongu           	2sg free            	
B28 Songum          	2sg free            	
